Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,IBD Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Ind Grp RS,PE Ratio,Vol. 50 Day Avg. (1000s)
BCLO,49.71,,0.13,444,,37,C,,,,,9
BCOR,21.59,,-0.86,29,,5,E,,,,,1
BCPL,24.51,,-0.49,86,,22,D-,,,,,41
BCSM,26.1,,-0.13,-75,,76,C,,,,,7
BCSS,10.25,,,1109,,,D,,,,50,46
BCTK,31.1,,-0.42,-67,,82,C-,,,,,50
BCUS,36.88,,1.08,-70,,76,A+,,,,,36
BCV,25.53,,-0.12,74,,67,C,,,,89,18
BCX,12.65,,0.96,-51,,66,B-,,,,85,192
BD,24.77,,-0.2,252,,34,,,,,,
BDBT,24.87,,-0.24,19,,18,E,,,,,42
BDCI,10.09,,,-100,,,D,,,,21,51
BDCX,20.95,,-2.2,-91,,24,A+,,,,,2
BDCZ,15.56,,-1.11,64,,31,D,,,,,2
BDEC,54.74,,-0.05,77,,72,A,,,,,28
BDGS,37.09,,0.03,-58,,54,B+,,,,,5
BDIV,25.2,,-0.35,-46,,69,B+,,,,,3
BDJ,9.86,,0.12,-33,,68,B+,,,,72,518
